image,category,response,correct,RT,IT,MT,block,trial,pressure,mapping,block_start_global,trial_start_global,fixation_onset_global,stim_onset_global,movement_start_global,response_time_global,timeout_time_global
Nonliving_Things\Kitchen_Uten\frying_pan.jpg,nonliving,right,1,0.9588852000015322,0.014764499996090308,0.9441207000054419,1,14,normal,left,26.49368830001913,48.029908700002125,48.050788000022294,48.491876400017645,48.501018600014504,49.434827300021425,
Nonliving_Things\Kitchen_Uten\saucepan.jpg,nonliving,right,1,1.1767066000029445,0.015820300002815202,1.1608863000001293,1,15,normal,left,26.49368830001913,49.44509990001097,49.46792860000278,49.90872400000808,49.91812330001267,51.06816080000135,
Living_Things\Insects\grasshopper.jpg,living,left,1,1.085148999991361,0.02318569997441955,1.0619633000169415,1,16,normal,left,26.49368830001913,51.07897650002269,51.10104639999918,51.55287870002212,51.567456899996614,52.61799890000839,
Living_Things\Birds\pheasant.jpg,living,left,1,0.8483388000167906,0.02100920001976192,0.8273295999970287,1,17,normal,left,26.49368830001913,52.62940520001575,52.650797800015425,53.104143800010206,53.11853259999771,53.93505339999683,
Nonliving_Things\Musical_Inst\violin.jpg,nonliving,right,1,0.9947025000001304,0.017323799984296784,0.9773787000158336,1,18,normal,left,26.49368830001913,53.94580440002028,53.96818000002531,54.40764570000465,54.41854300000705,55.385315899999114,
Living_Things\Trees\pine_tree.jpg,living,left,1,0.9305385000188835,0.023111300019081682,0.9074271999998018,1,19,normal,left,26.49368830001913,55.395882100012386,55.418230700015556,55.87865110000712,55.888683299999684,56.785089700017124,
Nonliving_Things\Musical_Inst\saxophone.jpg,nonliving,right,1,0.9427376000094227,0.013423600001260638,0.9293140000081621,1,20,normal,left,26.49368830001913,56.7960802000016,56.8175995000056,57.26123530001496,57.26756160001969,58.185395300009986,
Nonliving_Things\Clothing\undershirt.jpg,nonliving,right,1,1.19120249999105,0.06295749999117106,1.128244999999879,1,21,normal,left,26.49368830001913,58.19685870001558,58.21793020001496,58.66053780002403,58.718045200017514,59.83547340001678,
Nonliving_Things\Buildings\pagoda.jpg,nonliving,right,1,1.1423226000042632,0.013827299990225583,1.1284953000140376,1,22,normal,left,26.49368830001913,59.846234900003765,59.86761510002543,60.30972610000754,60.31792480000877,61.43538150002132,
Nonliving_Things\Clothing\jacket.jpg,nonliving,right,1,1.0598272000206634,0.015412300010211766,1.0444149000104517,1,23,normal,left,26.49368830001913,61.44638930002111,61.4680204000033,61.90875830000732,61.91780710002058,62.952063900011126,
Living_Things\Insects\bee.jpg,living,left,1,1.2407615999982227,0.012084899994079024,1.2286767000041436,1,24,normal,left,26.49368830001913,62.96221990001504,62.98498280000058,63.42859920000774,63.43487130000722,64.6520343000011,
Living_Things\Trees\fig_tree.jpg,living,left,1,0.9238795999845024,0.012985399982426316,0.9108942000020761,1,25,normal,left,26.49368830001913,64.66351250000298,64.68471010000212,65.1286426000006,65.13459370000055,66.03484259999823,
